dist1,dist2,dist3,angle
1.8399,2.0714,1.259,22.0
1.8806,1.9316,1.1453,22.0
1.8806,1.9316,1.1453,22.0
1.8142,1.868,1.1096,22.0
1.9651,1.3427,1.5414,0.0
1.9651,1.3427,1.5414,0.0
1.9651,1.3427,1.5414,0.0
1.801,1.6044,1.4327,0.0
1.801,1.6044,1.4327,0.0
1.801,1.6044,1.4327,0.0
1.6469,1.4728,1.3421,0.0
1.6469,1.4728,1.3421,0.0
2.2915,1.4289,1.3727,0.0
2.1818,1.3423,1.2861,0.0
2.1818,1.3423,1.2861,0.0
2.1818,1.3423,1.2861,0.0
2.0297,1.2298,1.1739,0.0
2.0297,1.2298,1.1739,0.0
2.0297,1.2298,1.1739,0.0
2.1926,1.1289,1.0742,0.0
2.1926,1.1289,1.0742,0.0
2.1294,1.0935,1.0395,0.0
2.0077,1.4788,1.0403,0.0
2.0077,1.4788,1.0403,0.0
2.0077,1.4788,1.0403,0.0
1.9042,1.4185,0.9572,0.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
1.7879,1.8078,0.8698,22.0
2.6093,1.0558,1.5189,0.0
2.6093,1.0558,1.5189,0.0
2.6093,1.0558,1.5189,0.0
2.6093,1.0558,1.5189,0.0
2.6093,1.0558,1.5189,0.0
2.6093,1.0558,1.5189,0.0
2.2947,1.1441,1.6479,0.0
2.2371,1.1025,1.6073,0.0
2.2371,1.1025,1.6073,0.0
2.2371,1.1025,1.6073,0.0
2.49,1.0028,1.5071,0.0
2.49,1.0028,1.5071,0.0
2.4342,0.9723,1.4752,0.0
2.3202,1.1844,1.4145,0.0
2.3202,1.1844,1.4145,0.0
2.2034,1.0985,1.6707,0.0
2.2034,1.0985,1.6707,0.0
2.2034,1.0985,1.6707,0.0
2.0336,0.9855,1.5646,0.0
2.0336,0.9855,1.5646,0.0
1.9782,0.9525,1.5326,0.0
1.8489,1.1683,1.4635,0.0
1.8489,1.1683,1.4635,0.0
1.8489,1.1683,1.4635,0.0
1.6779,1.0385,1.3667,0.0
1.6779,1.0385,1.3667,0.0
1.6779,1.0385,1.3667,0.0
1.6249,1.001,1.3237,0.0
1.4914,0.9138,1.2192,0.0
1.4914,0.9138,1.2192,0.0
1.3752,1.5252,1.1336,22.0
1.326,1.4934,1.0991,22.0
1.326,1.4934,1.0991,22.0
1.6967,1.4104,1.0513,0.0
1.6491,1.3717,1.1891,0.0
1.6491,1.3717,1.1891,0.0
1.5462,1.3001,1.0973,0.0
1.4918,1.2642,1.0497,0.0
1.4918,1.2642,1.0497,0.0
1.431,1.2259,0.9976,0.0
1.3157,1.8034,0.9023,22.0
