,dist1,dist2,dist3,angle
563,20.598,10.112,17.314,0.0
564,20.305,0.9971,17.041,0.0
565,20.305,0.9971,17.041,0.0
566,19.651,0.9588,16.559,0.0
567,19.308,0.94,16.311,0.0
568,19.308,0.94,16.311,0.0
569,18.632,1.283,15.834,0.0
570,18.327,12.558,15.624,0.0
571,18.327,12.558,15.624,0.0
572,17.964,12.237,15.378,0.0
573,17.282,11.641,1.493,0.0
574,17.282,11.641,1.493,0.0
575,17.282,11.641,1.493,0.0
576,1.631,10.812,14.326,0.0
577,1.631,10.812,14.326,0.0
578,15.952,10.515,14.115,0.0
579,1.54,10.064,13.802,0.0
580,1.54,10.064,13.802,0.0
581,14.785,0.9577,18.931,-22.0
582,14.466,0.9331,18.692,-22.0
583,14.466,0.9331,18.692,-22.0
584,22.653,0.9138,18.377,0.0
585,22.058,0.888,12.667,0.0
586,22.058,0.888,12.667,0.0
587,22.058,0.888,12.667,0.0
588,21.103,12.825,17.128,0.0
589,21.103,12.825,17.128,0.0
590,20.766,12.524,16.875,0.0
591,2.014,1.197,16.414,0.0
592,2.014,1.197,16.414,0.0
593,2.014,1.197,16.414,0.0
594,19.195,11.152,15.742,0.0
595,19.195,11.152,15.742,0.0
596,18.831,10.843,15.492,0.0
597,18.167,1.029,15.047,0.0
598,18.167,1.029,15.047,0.0
599,18.167,1.029,15.047,0.0
600,1.728,0.958,14.482,0.0
601,1.728,0.958,14.482,0.0
602,1.728,0.958,14.482,0.0
603,16.308,0.8845,13.906,0.0
604,16.308,0.8845,13.906,0.0
605,16.308,0.8845,13.906,0.0
606,15.389,0.8205,13.539,0.0
607,15.389,0.8205,13.539,0.0
608,15.389,0.8205,13.539,0.0
609,17.492,0.7647,12.814,0.0
610,17.492,0.7647,12.814,0.0
611,16.854,12.017,12.348,0.0
612,16.505,11.803,1.21,0.0
613,16.505,11.803,1.21,0.0
614,16.505,11.803,1.21,0.0
615,15.616,1.129,11.493,0.0
616,15.616,1.129,11.493,0.0
617,15.616,1.129,11.493,0.0
618,14.666,15.486,10.889,22.0
619,14.666,15.486,10.889,22.0
620,14.059,15.057,10.589,22.0
621,13.769,1.48,11.176,22.0
622,13.769,1.48,11.176,22.0
623,13.292,14.334,10.841,22.0
624,16.609,14.051,10.681,0.0
625,16.609,14.051,10.681,0.0
626,16.339,13.776,10.556,0.0
627,15.683,13.337,10.121,0.0
628,15.683,13.337,10.121,0.0
629,15.092,12.958,0.9751,0.0
630,14.755,12.749,0.9551,0.0
631,14.755,12.749,0.9551,0.0
632,14.176,12.405,0.9227,0.0
633,13.877,12.234,0.907,0.0
634,13.877,12.234,0.907,0.0
635,13.285,30.036,1.009,22.0
636,1.297,29.752,0.9822,22.0
637,1.297,29.752,0.9822,22.0
638,1.297,29.752,0.9822,22.0
639,16.119,11.054,0.926,0.0
640,16.119,11.054,0.926,0.0
641,16.119,11.054,0.926,0.0
642,15.247,27.915,0.8732,22.0
643,15.247,27.915,0.8732,22.0
644,15.247,27.915,0.8732,22.0
645,14.319,32.596,10.587,22.0
646,14.319,32.596,10.587,22.0
647,14.028,32.236,10.368,22.0
648,17.795,16.149,10.047,0.0
649,17.795,16.149,10.047,0.0
650,17.795,16.149,10.047,0.0
651,16.906,15.497,0.95,0.0
652,16.906,15.497,0.95,0.0
653,16.565,22.322,0.928,22.0
654,16.003,2.903,0.8936,22.0
655,16.003,2.903,0.8936,22.0
656,18.499,2.154,11.568,22.0
657,18.199,2.129,11.397,22.0
658,18.199,2.129,11.397,22.0
659,17.891,14.082,11.239,0.0
660,17.273,13.516,10.986,0.0
661,17.273,13.516,10.986,0.0
662,16.909,13.309,10.772,0.0
663,16.287,19.786,10.427,22.0
664,16.287,19.786,10.427,22.0
665,16.287,19.786,10.427,22.0
666,15.469,19.124,13.312,22.0
667,15.469,19.124,13.312,22.0
668,15.469,19.124,13.312,22.0
669,19.113,11.666,12.951,0.0
670,19.113,11.666,12.951,0.0
671,19.113,11.666,12.951,0.0
672,18.132,17.519,13.904,0.0
673,18.132,17.519,13.904,0.0
674,18.132,17.519,13.904,0.0
675,17.179,16.884,1.31,0.0
676,17.179,16.884,1.31,0.0
677,16.827,16.657,12.808,0.0
678,1.618,16.252,12.281,22.0
679,1.618,16.252,12.281,22.0
680,1.618,16.252,12.281,22.0
681,1.529,15.557,11.656,22.0
682,1.529,15.557,11.656,22.0
683,1.529,15.557,11.656,22.0
684,19.838,14.743,11.229,0.0
685,19.838,14.743,11.229,0.0
686,19.487,14.419,1.111,0.0
